id,label,group,year
191dfbdc-347d-474f-8d5a-e3075f99ac19,191dfbdc-347d-474f-8d5a-e3075f99ac19,N/A,
dd0be868-a6e6-4b01-bde3-e747ff4d5ec3,643128,63,2017
02c2902d-b606-427c-bad9-671706479b0f,657825,3,2020
06a736bd-6c7f-4f22-8011-6eb21ca9ba45,631856,2,2014
2b78853d-5fe2-4988-9041-0e312f05e58b,645402,1,2017
7eb23a3b-4fd5-47ca-9750-53a8041329a7,662316,1,2021
1887583f-feec-4a5b-9d28-06bb5a57e526,551480,L,2002
9d0c25c6-f742-48a4-8b27-d16b91f9b15a,665659,U,2022
f7793809-4383-4f15-be7a-9645ebc79942,656891,3,2020
b39618cf-544b-42da-ab98-45b42d3867bc,628530,L,2013
6e88c458-b88e-48be-b8de-232b23db5c9c,652509,63,2019
6312c1ae-1af9-4f6c-af66-984b16f8597f,618285,3,2011
59a77dbf-59f4-450c-9c65-63a6defacc3f,634845,U,2015
f13cd2f5-ea4d-4095-b1dd-db109eeb64fd,647047,61,2017
90442ab7-dc12-4ae8-88bf-fd23064cbf2a,625357,N/A,
317a4ae1-9576-4df9-bf80-d72b901b2966,639030,1,2016
ad7f9f91-6191-4b9a-b66d-4c19f7233b56,651157,3,2018
9042d20f-22ab-46be-829e-989d23c9870f,649035,3,2018
0ce349e0-13bf-4fd4-8a50-da53db9c2c0f,6582320,63,2020
031531eb-a3df-4ca8-aab3-d8c28961a75c,656137,3,2019
2741da12-5b07-4df9-8bf2-45a99479b0b9,627629,N/A,1992
e009980c-6e86-43d7-89b8-718fdcb8f0a3,661332,L,2021
d35f8be0-c0ec-48f8-b4ef-cdc4e2713324,670977,1,2024
02191a05-9c90-4384-9281-29e15e5b2c7d,639300,N/A,2016
fd458b8a-b742-4908-b2ad-0f86fb296513,664440,63,2022
c34cf5b3-4224-4f64-966a-6d5c7085e654,664601,L,2022
eda68342-e534-4991-94c8-864f409906dc,662740,61,2021
9984f695-132f-4847-932e-ac5c972ba76e,645082,1,2017
78f36bdc-1222-4b3e-abf3-b5e100cd470a,657121,2,2020
487d78d6-c575-49b2-bf23-a653218e3981,653841,L,2019
df4cbc43-48c9-43ef-9c8b-5bfb7a35e1fe,df4cbc43-48c9-43ef-9c8b-5bfb7a35e1fe,N/A,
904bddfa-71d4-4095-afba-0b7ab92a059f,664025,1,2022
fbfc13b6-bf1f-43f2-b7dc-19ca60c1eecd,667516,2,2023
dc5b5bda-26af-4353-83b5-14f8c3de910f,661494,1,2021
4e93604a-3e0f-4a5f-b601-7bf716f3f2da,657865,3,2020
13ef6726-3911-4462-8aff-d75cf0df44fe,278718,N/A,
e5161ba1-ea29-41c5-a966-2efb0606e173,653988,U,2019
32e65a01-c52d-4f7a-8f2a-80b610a837ea,656511,61,2019
0c1ab42a-e054-4afa-890c-a98559116532,0c1ab42a-e054-4afa-890c-a98559116532,N/A,
1b19db7e-9192-4348-825f-4ca64808ce4b,630930,N/A,
6e44eacf-8795-4ef6-9c2c-021fa7a8732c,630886,1,2014
