
============================================================
  FETCH CC FROM BROCARDI.IT
  2026-02-04T02:39:27.084581
  Rate limit: 3.0 req/sec
============================================================

Available codici: CC, CP, CPC, CPP, COST, CDS, CCONS, CDPR

Fetching CC...
(This will take a while due to rate limiting)

2026-02-04 02:39:27 [info     ] Crawling hierarchy             base_url=https://www.brocardi.it/codice-civile/
2026-02-04 02:39:51 [info     ] Found articles                 count=3191
  [349/3191] 2.43 art/sec | ETA: 1170s | Art. 330
  [350/3191] 2.43 art/sec | ETA: 1169s | Art. 331
  [351/3191] 2.43 art/sec | ETA: 1168s | Art. 332
  [352/3191] 2.43 art/sec | ETA: 1167s | Art. 333
  [353/3191] 2.43 art/sec | ETA: 1166s | Art. 334
  [354/3191] 2.43 art/sec | ETA: 1165s | Art. 335
  [355/3191] 2.44 art/sec | ETA: 1165s | Art. 336
  [356/3191] 2.44 art/sec | ETA: 1163s | Art. 336bis
  [357/3191] 2.44 art/sec | ETA: 1162s | Art. 337
  [358/3191] 2.44 art/sec | ETA: 1162s | Art. 337bis
  [359/3191] 2.44 art/sec | ETA: 1162s | Art. 337ter
  [360/3191] 2.44 art/sec | ETA: 1160s | Art. 337quater
  [361/3191] 2.44 art/sec | ETA: 1159s | Art. 337quinquies
  [362/3191] 2.44 art/sec | ETA: 1159s | Art. 337sexies
  [363/3191] 2.44 art/sec | ETA: 1157s | Art. 337septies
  [364/3191] 2.45 art/sec | ETA: 1156s | Art. 337octies
  [365/3191] 2.45 art/sec | ETA: 1155s | Art. 338
  [366/3191] 2.45 art/sec | ETA: 1154s | Art. 339
  [367/3191] 2.45 art/sec | ETA: 1153s | Art. 340
  [368/3191] 2.45 art/sec | ETA: 1152s | Art. 341
  [369/3191] 2.45 art/sec | ETA: 1151s | Art. 342
  [370/3191] 2.45 art/sec | ETA: 1150s | Art. 342bis
  [371/3191] 2.45 art/sec | ETA: 1149s | Art. 342ter
  [372/3191] 2.45 art/sec | ETA: 1148s | Art. 343
  [373/3191] 2.46 art/sec | ETA: 1147s | Art. 344
  [374/3191] 2.46 art/sec | ETA: 1146s | Art. 345
  [375/3191] 2.46 art/sec | ETA: 1146s | Art. 346
  [376/3191] 2.46 art/sec | ETA: 1144s | Art. 347
  [377/3191] 2.46 art/sec | ETA: 1144s | Art. 348
  [378/3191] 2.46 art/sec | ETA: 1143s | Art. 349
  [379/3191] 2.46 art/sec | ETA: 1142s | Art. 350
  [380/3191] 2.46 art/sec | ETA: 1141s | Art. 351
  [381/3191] 2.47 art/sec | ETA: 1140s | Art. 352
  [382/3191] 2.47 art/sec | ETA: 1139s | Art. 353
  [383/3191] 2.47 art/sec | ETA: 1138s | Art. 354
  [384/3191] 2.47 art/sec | ETA: 1138s | Art. 355
  [385/3191] 2.47 art/sec | ETA: 1137s | Art. 356
  [386/3191] 2.47 art/sec | ETA: 1136s | Art. 357
  [387/3191] 2.47 art/sec | ETA: 1135s | Art. 358
  [388/3191] 2.47 art/sec | ETA: 1134s | Art. 359
  [389/3191] 2.47 art/sec | ETA: 1133s | Art. 360
  [390/3191] 2.47 art/sec | ETA: 1132s | Art. 361
  [391/3191] 2.48 art/sec | ETA: 1131s | Art. 362
  [392/3191] 2.48 art/sec | ETA: 1131s | Art. 363
  [393/3191] 2.48 art/sec | ETA: 1130s | Art. 364
  [394/3191] 2.48 art/sec | ETA: 1129s | Art. 365
  [395/3191] 2.48 art/sec | ETA: 1128s | Art. 366
  [396/3191] 2.48 art/sec | ETA: 1127s | Art. 367
  [397/3191] 2.48 art/sec | ETA: 1126s | Art. 368
  [398/3191] 2.48 art/sec | ETA: 1125s | Art. 369
  [399/3191] 2.48 art/sec | ETA: 1125s | Art. 370
  [400/3191] 2.48 art/sec | ETA: 1124s | Art. 371
  [401/3191] 2.49 art/sec | ETA: 1123s | Art. 372
  [402/3191] 2.49 art/sec | ETA: 1122s | Art. 373
  [403/3191] 2.49 art/sec | ETA: 1121s | Art. 374
